Customer_ID,Age,Gender,Income,Customer_Segment,Product_Category,Product_Brand,Product_Type,products,Amount,Total_Amount,Total_Purchases,Feedback,Ratings,Date,Year,Month,Time,product_description,quality_score,weighted_score,feedback_count,is_new,Excellent,Good,Average,Bad,Excellent_pct,Good_pct,Average_pct,Bad_pct,enhanced_description
37249.0,21.0,Male,Low,Regular,Clothing,Nike,Shorts,Cycling shorts,108.0287567,324.08627,3.0,Excellent,5.0,9/18/2023,2023.0,September,22:03:55,Cycling shorts. Brand: Nike. Type: Shorts. Category: Clothing. Price: 108.03,1.0,0.1762914343888821,1,True,1,0,0,0,1.0,0.0,0.0,0.0,"Product: Cycling shorts. Brand: Nike. Type: Shorts. Category: Clothing. Price: 108.03. Customer feedback: 1 Excellent, 0 Good, 0 Average, 0 Bad reviews. Overall quality score: 1.00/1.0. Category: Clothing. Price: 108.03"
69749.0,19.0,Female,Low,Premium,Electronics,Samsung,Tablet,Lenovo Tab,403.3539073,806.7078147,2.0,Excellent,4.0,12/31/2023,2023.0,December,8:42:04,Lenovo Tab. Brand: Samsung. Type: Tablet. Category: Electronics. Price: 403.35,1.0,0.1762914343888821,1,True,1,0,0,0,1.0,0.0,0.0,0.0,"Product: Lenovo Tab. Brand: Samsung. Type: Tablet. Category: Electronics. Price: 403.35. Customer feedback: 1 Excellent, 0 Good, 0 Average, 0 Bad reviews. Overall quality score: 1.00/1.0. Category: Electronics. Price: 403.35"
30192.0,48.0,Male,Low,Regular,Books,Penguin Books,Children's,Sports equipment,354.4775997,1063.432799,3.0,Average,2.0,4/26/2023,2023.0,April,4:06:29,Sports equipment. Brand: Penguin Books. Type: Children's. Category: Books. Price: 354.48,0.5,0.08814571719444105,1,True,0,0,1,0,0.0,0.0,1.0,0.0,"Product: Sports equipment. Brand: Penguin Books. Type: Children's. Category: Books. Price: 354.48. Customer feedback: 0 Excellent, 0 Good, 1 Average, 0 Bad reviews. Overall quality score: 0.50/1.0. Category: Books. Price: 354.48"
62101.0,56.0,Male,High,Premium,Home Decor,Home Depot,Tools,Utility knife,352.4077173,2466.854021,7.0,Excellent,4.0,5/8/2023,2023.0,May,14:55:17,Utility knife. Brand: Home Depot. Type: Tools. Category: Home Decor. Price: 352.41,1.0,0.1762914343888821,1,True,1,0,0,0,1.0,0.0,0.0,0.0,"Product: Utility knife. Brand: Home Depot. Type: Tools. Category: Home Decor. Price: 352.41. Customer feedback: 1 Excellent, 0 Good, 0 Average, 0 Bad reviews. Overall quality score: 1.00/1.0. Category: Home Decor. Price: 352.41"
27901.0,22.0,Male,Low,Premium,Grocery,Nestle,Chocolate,Chocolate cookies,124.2765245,248.5530491,2.0,Bad,1.0,1/10/2024,2024.0,January,16:54:07,Chocolate cookies. Brand: Nestle. Type: Chocolate. Category: Grocery. Price: 124.28,0.25,0.04407285859722052,1,True,0,0,0,1,0.0,0.0,0.0,1.0,"Product: Chocolate cookies. Brand: Nestle. Type: Chocolate. Category: Grocery. Price: 124.28. Customer feedback: 0 Excellent, 0 Good, 0 Average, 1 Bad reviews. Overall quality score: 0.25/1.0. Category: Grocery. Price: 124.28"
41289.0,58.0,Female,Medium,Premium,Electronics,Apple,Tablet,Lenovo Tab,296.2918059,1185.167224,4.0,Good,4.0,9/21/2023,2023.0,September,23:24:27,Lenovo Tab. Brand: Apple. Type: Tablet. Category: Electronics. Price: 296.29,0.75,0.13221857579166157,1,True,0,1,0,0,0.0,1.0,0.0,0.0,"Product: Lenovo Tab. Brand: Apple. Type: Tablet. Category: Electronics. Price: 296.29. Customer feedback: 0 Excellent, 1 Good, 0 Average, 0 Bad reviews. Overall quality score: 0.75/1.0. Category: Electronics. Price: 296.29"
97285.0,29.0,Female,Low,New,Electronics,Samsung,Television,QLED TV,315.0576476,630.1152951,2.0,Bad,1.0,6/26/2023,2023.0,June,13:35:51,QLED TV. Brand: Samsung. Type: Television. Category: Electronics. Price: 315.06,0.25,0.04407285859722052,1,True,0,0,0,1,0.0,0.0,0.0,1.0,"Product: QLED TV. Brand: Samsung. Type: Television. Category: Electronics. Price: 315.06. Customer feedback: 0 Excellent, 0 Good, 0 Average, 1 Bad reviews. Overall quality score: 0.25/1.0. Category: Electronics. Price: 315.06"
26603.0,29.0,Male,Medium,Premium,Clothing,Zara,Shirt,Dress shirt,46.58807038,46.58807038,1.0,Bad,1.0,3/24/2023,2023.0,March,10:12:56,Dress shirt. Brand: Zara. Type: Shirt. Category: Clothing. Price: 46.59,0.25,0.04407285859722052,1,True,0,0,0,1,0.0,0.0,0.0,1.0,"Product: Dress shirt. Brand: Zara. Type: Shirt. Category: Clothing. Price: 46.59. Customer feedback: 0 Excellent, 0 Good, 0 Average, 1 Bad reviews. Overall quality score: 0.25/1.0. Category: Clothing. Price: 46.59"
80175.0,46.0,Male,Medium,New,Grocery,Nestle,Chocolate,Dark chocolate,328.8393017,2630.714413,8.0,Bad,1.0,1/6/2024,2024.0,January,14:38:26,Dark chocolate. Brand: Nestle. Type: Chocolate. Category: Grocery. Price: 328.84,0.25,0.04407285859722052,1,True,0,0,0,1,0.0,0.0,0.0,1.0,"Product: Dark chocolate. Brand: Nestle. Type: Chocolate. Category: Grocery. Price: 328.84. Customer feedback: 0 Excellent, 0 Good, 0 Average, 1 Bad reviews. Overall quality score: 0.25/1.0. Category: Grocery. Price: 328.84"
31878.0,25.0,Male,Medium,New,Home Decor,Home Depot,Decorations,Candles,397.6112295,3976.112295,10.0,Excellent,4.0,10/4/2023,2023.0,October,22:27:40,Candles. Brand: Home Depot. Type: Decorations. Category: Home Decor. Price: 397.61,1.0,0.1762914343888821,1,True,1,0,0,0,1.0,0.0,0.0,0.0,"Product: Candles. Brand: Home Depot. Type: Decorations. Category: Home Decor. Price: 397.61. Customer feedback: 1 Excellent, 0 Good, 0 Average, 0 Bad reviews. Overall quality score: 1.00/1.0. Category: Home Decor. Price: 397.61"
